ID,Fraction_ID,Envelope_num,Mass,MonoMz,Charge,Intensity,mzLo,mzHi,rtLo,rtHi,color,opacity,promex_score
60,0,4,2646.25,1324.13,2,2.75E+07,1324.03,1326.74,62.7482,63.8028,#FF0000,0.1,-472.134
60,0,3,2646.25,883.091,3,1.20E+09,882.991,884.862,62.6963,63.3065,#FF0000,0.1,-472.134
60,0,4,2646.25,662.57,4,1.07E+07,662.47,663.923,62.9093,63.478,#FF0000,0.1,-472.134
61,0,45,341.257,342.264,1,4.33E+09,342.164,343.367,99.6818,99.875,#FF0000,0.1,-339.454
62,0,1,3670.03,918.515,4,1.04E+08,918.415,920.369,85.7885,85.7885,#FF0000,0.1,-495.572
62,0,1,3670.03,735.013,5,6.05E+08,734.913,736.517,85.8012,85.8012,#FF0000,0.1,-495.572
63,0,6,519.278,520.285,1,9.77E+08,520.185,522.39,99.1227,99.3405,#FF0000,0.1,-339.146
64,0,13,327.241,328.248,1,2.21E+09,328.148,329.351,99.5058,99.566,#FF0000,0.1,-339.146
65,0,74,3692.74,924.193,4,7.89E+08,924.093,926.047,64.5115,66.6103,#FF0000,0.1,49.9214
65,0,143,3692.74,739.556,5,2.41E+10,739.456,741.059,63.1653,67.1563,#FF0000,0.1,49.9214
65,0,155,3692.74,616.464,6,3.85E+10,616.364,617.734,63.3065,67.7392,#FF0000,0.1,49.9214
65,0,22,3692.74,528.542,7,2.72E+08,528.442,529.644,64.9495,66.2488,#FF0000,0.1,49.9214
66,0,6,574.349,575.356,1,1.74E+09,575.256,577.461,99.7083,99.7233,#FF0000,0.1,-339.146
67,0,7,9870.2,1411.04,7,5.21E+07,1411.08,1413,97.7002,97.8917,#FF0000,0.1,54.9014
67,0,1,9870.2,1234.78,8,1.36E+07,1234.81,1236.51,97.7718,97.7718,#FF0000,0.1,54.9014
67,0,5,9870.2,1097.7,9,1.22E+08,1097.71,1099.24,97.7002,98.612,#FF0000,0.1,54.9014
67,0,14,9870.2,988.027,10,4.36E+08,988.027,989.43,97.7002,98.2012,#FF0000,0.1,54.9014
67,0,24,9870.2,898.298,11,1.55E+09,898.289,899.583,97.4877,98.2012,#FF0000,0.1,54.9014
67,0,27,9870.2,823.524,12,4.02E+09,823.507,824.71,97.4877,98.2658,#FF0000,0.1,54.9014
67,0,35,9870.2,760.253,13,4.87E+09,760.23,761.356,97.3547,98.636,#FF0000,0.1,54.9014
67,0,30,9870.2,706.021,14,1.99E+09,705.993,707.052,97.6458,98.5902,#FF0000,0.1,54.9014
67,0,18,9870.2,659.02,15,5.20E+08,658.987,659.989,97.672,98.2012,#FF0000,0.1,54.9014
68,0,4,500.333,501.34,1,1.62E+09,501.24,503.445,99.5258,99.5348,#FF0000,0.1,-339.146
69,0,2,394.591,395.598,1,6.82E+08,395.498,397.703,9.91483,9.927,#FF0000,0.1,-346.166
70,0,129,12841.1,1606.15,8,3.02E+09,1606.3,1608.25,72.7152,76.4232,#FF0000,0.1,55.1868
70,0,167,12841.1,1427.8,9,6.76E+09,1427.92,1429.68,72.6875,76.8973,#FF0000,0.1,55.1868
70,0,163,12841.1,1285.12,10,8.53E+09,1285.22,1286.82,72.6875,76.8717,#FF0000,0.1,55.1868
70,0,168,12841.1,1168.38,11,8.05E+09,1168.46,1169.94,72.6875,76.8973,#FF0000,0.1,55.1868
